Status,Power_range_sensor_1,Power_range_sensor_2,Power_range_sensor_3 ,Power_range_sensor_4,Pressure _sensor_1,Pressure _sensor_2,Pressure _sensor_3,Pressure _sensor_4,Vibration_sensor_1,Vibration_sensor_2,Vibration_sensor_3,Vibration_sensor_4
Normal,4.5044,0.7443,6.34,1.9052,29.5315,0.8647,2.2044,6.048,14.4659,21.648,15.3429,1.2186
Normal,4.4284,0.9073,5.6433,1.6232,27.5032,1.4704,1.9929,5.9856,20.8356,0.0646,14.8813,7.3483
Normal,4.5291,1.0199,6.113,1.0565,26.4271,1.9247,1.942,6.7162,5.3358,11.0779,25.0914,9.2408
Normal,5.1727,1.0007,7.8589,0.2765,25.1576,2.609,2.9234,6.7485,1.9017,1.8463,28.664,4.0157
Normal,5.2258,0.6125,7.9504,0.1547,24.0765,3.2113,4.4563,5.8411,0.5077,9.37,34.8122,13.4966
Normal,4.8834,0.5786,5.6021,0.5942,21.0365,2.6275,4.3996,5.3487,3.6465,9.3793,36.2431,11.124
Normal,5.7422,0.8862,5.1013,0.9402,15.5171,2.92,2.7061,5.0366,9.1854,9.1116,27.3162,2.8526
Normal,6.5076,0.5438,7.153,0.6711,11.1481,4.2967,3.5731,4.6123,14.7705,8.0038,24.9714,2.1417
Normal,5.625,0.0403,7.7087,0.3214,8.7975,2.3293,4.788,5.203,4.3388,2.4187,20.9187,2.1233
Normal,4.9942,0.4092,6.2604,0.6931,6.189,0.1537,2.4934,5.6573,9.8132,13.3581,23.5036,0.7478
Normal,5.9079,0.9229,5.3613,0.3516,4.0913,1.1409,1.4172,4.4551,8.1422,9.8039,20.7987,0.1108
Normal,6.4215,0.5978,5.5765,1.1847,1.3588,2.2807,2.8529,4.5002,0.997,8.7331,27.2793,2.114
Normal,5.9253,0.2161,6.2439,0.8835,4.0169,1.3687,3.9973,5.3891,18.1585,14.4843,25.4514,5.9267
Normal,5.5783,0.6262,6.3556,0.6747,9.9827,1.3455,5.7394,4.1904,16.6814,16.8661,23.3743,2.6033
Normal,5.495,0.4971,5.2286,1.1902,14.9418,1.6808,6.9821,2.7535,11,16.3399,7.136,6.4898
Normal,5.6332,0.5182,4.3826,1.8375,19.1719,2.3223,6.841,3.5384,13.7643,20.014,4.0804,20.5402
Normal,5.8438,1.1902,5.1022,2.0297,20.4563,3.9257,9.0478,3.8586,12.3057,17.4384,29.7256,21.8234
Normal,5.4053,1.8027,5.9399,1.5262,18.5719,3.669,11.0384,3.5604,10.6625,10.4963,24.8606,16.2476
Normal,5.2075,1.4804,5.8466,1.1105,16.7172,2.6032,8.9125,4.2609,20.7064,7.893,7.0806,24.1498
Normal,6.0489,0.9576,5.3467,1.5335,15.4675,3.7974,7.7415,4.0424,23.3928,3.3972,17.54,27.5655
Normal,6.4261,1.2891,4.8642,1.8054,14.7286,4.4967,8.8096,3.5881,13.9304,5.6036,16.3583,17.023
Normal,5.95,2.1762,5.1691,1.4731,13.0772,3.1489,7.8826,3.8286,19.7832,15.1028,0.3693,18.6755
Normal,5.7156,2.6184,5.5893,1.6351,7.2155,2.231,6.6954,3.0414,18.5093,9.3423,19.9033,10.2747
Normal,5.5472,2.6926,4.8669,2.3172,0.2678,2.1027,7.708,1.5848,19.3678,9.8962,14.4566,12.6657
Normal,5.1846,3.2327,4.5062,2.6871,3.4962,1.5004,8.3022,2.0773,24.2329,6.2221,3.8311,16.8568
Normal,4.9384,4.1675,5.6369,2.5845,3.8532,1.5918,9.6893,2.6529,20.3648,0.9509,9.9516,22.4142
Normal,4.7827,4.7452,6.7557,2.406,1.7654,1.5663,12.1851,1.6842,24.9714,2.0402,9.5547,43.2314
Normal,4.758,4.9228,6.4947,2.6715,0.4711,1.3999,12.3296,0.7687,31.4981,4.1911,3.6834,40.425
Normal,4.3707,5.3229,5.6644,2.9471,2.425,1.9732,11.6441,0.7525,31.1842,4.0896,6.2036,21.8327
Normal,3.4204,6.0416,6.0992,2.4609,4.1657,1.7513,12.1943,1.6114,26.0976,3.7111,6.2775,15.3706
Normal,3.4067,6.4297,7.7444,1.9949,4.8649,1.7987,12.1481,1.5097,27.5747,7.1175,6.7113,30.7042
Normal,4.4907,6.4764,8.1088,2.634,6.5361,3.298,11.3458,0.0116,12.7303,6.4436,2.5294,12.9796
Normal,4.5383,6.8188,6.7584,3.4195,7.4436,3.4332,11.1782,0.2936,11.0317,6.8867,3.231,18.7862
Normal,3.3801,7.5375,6.2759,3.1348,7.2948,1.9189,11.5273,0.6716,20.291,10.4409,9.2223,29.661
Normal,2.8629,7.9019,7.4167,2.5232,7.7957,0.7803,12.1527,0.6462,14.0504,8.0684,12.8042,9.7208
Normal,3.2712,7.8314,8.3066,2.579,9.3182,0.667,11.6475,0.1572,7.4776,3.7849,9.6285,4.1819
Normal,3.6456,7.9056,8.2068,2.8931,12.4821,1.5502,11.1909,0.2381,13.7273,3.2034,13.6904,22.4235
Normal,3.7765,8.2022,8.2141,2.785,16.5386,2.6009,12.2463,0.4335,12.3426,6.3052,6.3513,11.1517
Normal,3.7646,8.399,8.5181,2.5626,17.7784,2.7581,12.6475,0.3896,11.5672,2.4002,15.6475,19.5248
Normal,3.6035,8.3688,8.2333,2.5104,16.499,2.2634,11.1563,0.2971,3.2495,12.1949,21.1126,16.2568
Normal,3.9029,8.1802,8.183,2.3987,14.9468,3.113,10.5598,0.2381,5.3266,7.893,9.8778,2.1048
Normal,4.7177,8.1509,9.2725,2.0535,14.3417,4.6297,10.8511,0.897,2.7695,3.3788,15.7491,9.6839
Normal,4.9384,8.5904,9.9609,1.6562,15.6956,4.6401,11.0846,1.0635,6.5452,6.6744,19.6171,11.9364
Normal,4.313,9.0179,9.1983,1.4008,18.1503,3.5847,10.9678,0.6959,10.8194,2.0217,19.2663,10.7179
Normal,3.9359,8.8934,8.259,1.4896,19.6381,2.8183,9.8962,0.5815,1.5601,4.9112,13.6627,18.5739
Normal,4.3607,8.6948,8.2718,1.9208,18.7752,3.1408,8.6663,0.5213,1.514,7.136,20.3741,21.2788
Normal,5.1352,8.811,8.8394,2.1854,16.8114,3.6794,8.5646,0.2601,9.8316,12.7119,4.8096,13.0165
Normal,5.6131,9.0033,8.92,2.1671,16.0229,3.8378,9.1703,0.6577,5.0866,11.2441,6.1298,30.5011
Normal,5.3366,8.9108,8.3002,2.1323,15.7799,3.0795,8.9114,0.6693,0.3416,14.8444,5.8067,33.446
Normal,4.7406,8.5373,7.5906,2.0627,13.8012,2.4368,8.2432,0.3167,7.2191,17.3461,1.4217,24.0113
Normal,4.8413,8.1445,7.1329,2.3099,10.2902,2.7801,7.982,0.1838,7.8653,6.6929,6.0374,23.6605
Normal,5.4465,7.9514,7.3856,2.7008,6.3824,3.5569,7.9658,0.0879,2.7048,5.8251,4.6619,22.1281
Normal,5.6946,8.0191,8.3542,2.5131,2.911,3.9696,7.8872,0.6312,0.0831,3.2772,7.3853,18.8232
Normal,5.4401,7.9275,8.5107,1.9775,0.5108,3.7881,7.1427,0.6554,3.3695,0.7385,8.8161,19.6448
Normal,4.9503,7.5916,7.7463,1.7551,2.8217,2.8761,5.2747,0.6947,10,2.2525,3.3695,15.9798
Normal,4.6298,7.3947,7.8378,1.799,7.8255,2.0079,3.8968,1.6947,4.8743,10.3209,14.7059,13.5058
Normal,4.5767,7.3654,8.3011,2.1002,12.3978,1.608,4.0482,2.0449,9.8962,6.656,14.0228,14.512
Normal,4.7781,7.2684,7.9092,2.5882,12.9681,0.8577,4.2031,1.0589,15.3798,15.8229,2.3448,8.1792
Normal,5.1416,7.1631,7.6437,2.9132,6.6154,0.6011,4.1384,0.0462,5.9082,12.7396,0.48,3.508
Normal,4.8111,7.2711,7.8287,2.7383,3.3226,0.652,4.2898,0.1433,7.3,4.1727,9.4808,16.5707
Normal,3.6209,7.4982,8.205,1.9684,6.9328,0.4844,4.6146,1.1837,12.758,9.1854,2.2433,20.5864
Normal,3.1064,7.5458,9.1113,1.4053,0.0248,1.1479,4.9741,1.7779,3.3234,9.37,10.3394,9.5731
Normal,3.577,7.3379,9.4134,1.799,11.2522,0.3826,5.3464,1.275,5.5943,0.0739,5.2158,18.2047
Normal,3.9478,7.3087,8.9401,2.2797,15.5071,2.0206,6.0261,1.297,3.2587,5.8436,13.2288,15.4536
Normal,3.6996,7.6694,9.2825,1.9666,8.1924,2.5466,6.5578,2.0264,9.1208,1.1909,22.045,1.5971
Normal,3.2767,7.8973,9.9966,1.3925,3.2978,2.7373,6.0376,2.0137,10.1547,1.3201,14.3643,0.1846
Normal,3.5651,7.6291,10.2887,1.1398,8.0685,3.335,4.7776,1.7097,11.124,5.5574,11.3641,10.4132
Normal,4.5813,7.4167,10.622,1.5372,2.4597,4.0702,4.0413,2.2761,5.2343,11.6687,13.5981,9.4347
Normal,5.105,7.576,10.4837,2.0636,8.1429,4.4008,5.4735,2.4229,7.9576,10.3855,11.5856,28.3224
Normal,4.823,7.8845,10.3281,1.8182,11.9019,2.794,6.8318,2.3004,3.2126,12.9427,4.6804,23.9005
Normal,4.1858,8.0988,10.502,1.1215,5.331,0.4693,6.5694,2.4403,6.1575,10.9025,2.5571,10.127
Normal,3.7408,8.1409,10.1505,0.9915,2.5291,0.1688,6.6618,2.268,9.6008,6.5083,6.896,7.773
Normal,3.7976,8.1692,9.8978,1.5463,3.8681,0.148,8.2201,1.8519,8.5854,5.7605,7.3576,30.6765
Normal,4.1364,8.367,10.0012,2.243,0.4066,0.4809,9.6292,1.9628,9.2316,7.9853,6.9606,25.4791
Normal,4.4614,8.5245,10.1889,2.5003,3.8483,1.5814,10.6361,1.9467,4.3388,18.5001,16.4414,22.9681
Normal,4.3314,8.6536,10.7593,2.1698,0.2777,2.3062,10.5737,1.5213,6.5729,9.1485,16.5707,25.7007
Normal,3.3719,8.7158,10.1825,1.8018,9.0752,1.7004,9.0339,1.9362,0.2031,10.0439,18.6755,10.8933
Normal,2.7841,8.3688,8.9548,1.6461,16.8808,1.8334,7.8675,2.8148,10.6163,7.4314,11.2071,27.3716
Normal,3.7683,8.1619,10.1999,1.8008,18.3537,3.6193,8.0086,2.8784,13.0719,12.0657,7.2837,19.3863
Normal,4.6298,8.7524,11.6299,2.1194,13.4193,4.2609,9.0524,2.4437,12.278,9.6747,5.0681,5.9082
Normal,3.8882,9.4107,10.5103,1.9189,7.8701,2.4865,9.5645,2.5339,3.8496,6.7298,18.3247,23.4297
Normal,3.1577,9.202,9.9335,1.387,8.8768,1.0612,9.064,2.0622,9.5454,10.0993,12.0195,16.7922
Normal,3.7253,8.6874,10.567,1.4832,14.6294,1.2057,7.8178,1.2635,14.0597,1.7078,9.1485,15.6106
Normal,4.2178,8.7808,10.286,1.7505,18.6016,1.3086,7.404,1.5895,2.1417,11.124,1.9202,18.0662
Normal,3.7949,9.2789,10.2933,1.2506,17.1089,1.1698,9.4477,1.6484,15.3059,5.5851,4.8373,17.78
Normal,3.4259,9.3439,11.0834,0.4065,11.1282,0.7942,10.5494,1.1282,1.9479,3.4618,8.2623,12.0841
Normal,3.7015,8.9932,11.1795,0.2802,5.3757,0.4531,10.1517,0.7086,3.6742,23.1989,6.7298,16.9492
Normal,4.1016,8.7662,10.6174,0.6271,3.5854,1.6588,10.9424,0.3907,10.9117,8.8992,10.4132,20.7341
Normal,4.259,8.8998,10.4819,0.5969,4.3144,2.616,11.6672,0.9109,8.2899,4.0804,11.6595,24.2144
Normal,3.9047,9.2706,10.827,0.1877,5.7179,1.7062,11.2568,1.4045,6.3698,9.5824,3.1849,20.6972
Normal,2.709,9.4492,10.8307,0.2216,6.2981,0.4878,10.4477,1.9975,9.7393,1.9017,2.8895,11.3641
Normal,1.8118,9.147,10.5038,0.3717,4.3789,0.3445,8.9946,2.6726,2.0956,10.5517,0.2677,22.9404
Normal,2.4197,8.9026,10.5524,0.1712,2.1027,1.5617,7.8444,2.1212,5.022,21.6665,0.48,25.6638
Normal,3.3124,9.0463,10.6631,1.062,1.453,2.572,7.597,1.475,2.2617,18.6201,1.6709,16.543
Normal,2.9242,9.2377,10.6155,1.2506,0.3273,1.7837,8.2143,1.1433,2.6402,8.2899,20.0417,17.4754
Normal,1.6333,9.2532,10.4947,0.7919,1.2943,0.4196,8.7738,0.682,3.988,16.5984,13.4689,12.7673
Normal,0.6262,9.0225,9.4519,0.8633,1.0662,1.8565,7.9265,0.504,8.5484,20.1617,1.6617,2.3448
Normal,0.7059,8.4814,8.0347,1.7752,0.9174,1.8276,6.4815,0.1792,6.4713,17.6785,5.6959,0.0831
Normal,1.8704,8.0273,8.2159,3.0038,4.1508,0.4543,6.4018,1.6207,10.284,14.7059,7.7637,13.4689
Normal,2.8711,8.0164,9.126,3.8947,7.6618,1.3109,7.3439,3.0471,6.3975,0.3877,16.4876,9.3146
Normal,2.7969,8.1464,8.4512,4.3176,9.4669,1.4253,6.893,3.8517,3.1757,2.6402,8.1884,10.0532
Normal,2.0471,7.825,7.0258,4.3872,9.8438,0.1907,4.8192,3.4182,8.8069,2.6125,9.8501,19.7648
Normal,1.7844,7.0468,7.1951,4.6051,10.4488,0.652,3.9419,2.7662,12.1303,0.8031,2.5018,22.765
Normal,2.3767,6.6925,8.2617,5.3018,11.7085,1.9478,3.854,2.9443,1.6248,0.0277,13.1088,14.2905
Normal,2.5763,6.8243,8.0246,6.0553,12.973,2.2067,3.0691,3.165,8.3269,6.1205,10.9302,13.9304
Normal,1.8668,6.5717,6.8683,6.3995,13.4491,1.9293,2.7593,3.2263,20.4295,1.9017,7.0714,3.8219
Normal,1.7505,5.8456,6.6486,6.7163,13.3846,1.964,2.231,3.7396,5.8436,4.1173,5.502,8.7238
Normal,2.3776,5.4813,7.5165,7.121,12.9234,2.031,1.3236,4.0598,5.9267,8.5115,14.1612,33.4921
Normal,2.1973,5.7706,7.7756,7.3618,11.1282,1.7605,2.1628,3.7974,5.4835,12.9519,14.6136,15.5183
Normal,1.6681,5.8282,6.5094,8.0209,8.9264,0.8543,3.335,4.9672,5.6313,10.164,24.7591,9.4254
Normal,2.3959,5.1251,5.2689,9.3329,9.1991,1.3155,2.4252,7.8421,2.7602,15.666,11.8256,24.5652
Normal,3.869,4.7671,5.8163,10.4187,11.4506,3.3997,1.0404,8.8963,0.8124,15.1675,5.6866,27.6855
Normal,4.0787,5.2734,7.088,10.4636,12.8243,3.9303,1.134,8.2213,0.4339,3.1941,7.4683,17.2907
Normal,3.1577,5.5261,7.24,9.9353,13.6375,2.4472,0.5144,8.2571,2.4648,3.508,13.8104,18.1308
Normal,3.2346,4.9164,6.5872,10.1852,15.0311,2.4056,1.2508,9.435,1.0524,4.0896,25.3776,29.1625
Normal,4.6793,4.3927,6.1862,11.38,16.375,4.6343,1.5201,11.1909,1.394,9.9055,33.3629,24.0944
Normal,5.2606,4.736,6.2476,12.2543,16.2857,5.8735,0.6011,11.5597,8.0961,3.3049,20.3556,20.5956
Normal,4.4321,5.4767,6.5021,12.1701,15.5022,5.0354,0.0774,10.5956,2.9264,0.8678,32.9013,4.4127
Normal,3.9267,5.6094,6.6962,11.9925,15.4427,4.4493,0.482,11.7065,11.1979,5.5389,14.9367,13.7643
Normal,4.4449,5.1434,6.7538,12.2726,15.9138,4.7499,0.0844,12.6648,2.7972,8.8531,5.4466,22.7835
Normal,4.8706,5.3055,6.8729,12.7798,17.0792,5.4007,0.363,10.9181,8.0038,11.9641,24.2421,14.9644
Normal,4.4028,6.297,6.9498,13.0627,18.4628,4.9221,2.8055,10.2061,4.4127,28.2024,10.6071,19.1463
Normal,4.1025,6.7886,7.012,13.1644,17.9173,3.1997,5.7394,11.2187,9.3146,18.2877,1.0524,19.5525
Normal,4.8853,6.3702,7.3865,13.6102,15.0509,2.9096,5.1129,11.6002,7.0991,1.754,14.4936,12.7857
Normal,5.8392,6.2018,7.6465,14.3719,12.7152,4.1973,4.5545,11.9296,2.3079,5.0497,23.0512,19.534
Normal,6.0828,6.8088,7.2812,14.8975,12.1548,4.8863,5.403,12.2417,7.1729,12.4995,7.8191,36.0493
Normal,5.7321,7.4973,6.8912,15.0018,12.5168,4.5071,5.5729,12.1018,6.7206,0.12,18.0385,15.666
Normal,5.2798,7.7179,6.9781,15.0366,12.4374,4.395,5.4365,12.3238,4.0527,0.6647,21.8788,16.1645
Normal,5.0784,7.8589,6.9608,15.2957,10.8406,4.5025,4.9788,12.1435,12,4.9297,29.8733,11.7979
Normal,5.1022,8.3368,6.7868,15.8047,7.8552,4.8817,5.6273,12.592,15.1028,2.5848,36.9632,17.54
Normal,5.0748,8.9282,7.067,16.0767,5.1922,4.9522,6.9069,13.8566,2.8802,3.3972,32.9105,29.7533
Normal,4.9878,9.3475,7.4771,15.921,3.6846,4.2112,6.9069,14.0716,11.3456,5.5943,16.2106,26.55
Normal,4.975,9.4839,7.4176,15.7672,3.6896,4.0944,7.7115,13.8716,3.0926,0.9047,26.79,28.1286
Normal,5.4593,9.4684,7.4075,15.9668,3.9127,4.4828,9.2327,14.4739,3.2034,8.1699,44.0346,20.651
Normal,6.3776,9.5746,7.7509,16.1728,1.0712,4.2493,9.4096,14.4982,8.6223,14.8444,36.197,11.5579
Normal,6.6083,9.9298,7.9395,15.7452,4.5128,3.6494,10.3112,14.2959,12.1395,0.8308,36.8432,21.4265
Normal,5.7889,10.1065,8.0621,14.74,9.0256,2.1825,10.6372,13.6774,10.5332,9.01,38.3941,14.6505
Normal,5.3879,9.9207,8.1454,14.2896,11.6886,0.9017,8.812,12.9041,8.253,3.5634,26.6054,8.5115
Normal,5.8072,9.7458,7.9568,14.7061,12.5862,1.8912,8.5877,13.5456,11.6502,3.8865,27.3716,23.2174
Normal,6.1139,9.7842,8.0475,14.9927,11.6837,2.8541,8.3368,13.4983,9.0839,4.8558,38.6987,20.5125
Normal,6.2942,10.0974,8.5446,14.9249,10.9646,3.3338,7.4121,12.8752,17.8815,10.5978,34.6738,4.6066
Normal,6.1945,10.5212,8.5089,14.9158,9.7595,3.7835,8.3993,13.3191,7.3299,8.8069,39.5757,1.8002
Normal,5.5774,10.6448,8.118,14.5724,8.8173,3.654,8.5276,12.5388,8.0776,15.0567,25.5068,1.2463
Normal,5.2441,10.6741,8.7405,13.8226,9.3628,3.454,7.493,10.0673,11.9364,5.6313,15.1305,7.6991
Normal,5.4785,11.098,9.7375,13.4207,8.7776,4.0702,9.4188,9.1865,14.512,12.6749,25.1006,9.5916
Normal,5.4053,11.6592,9.7018,13.2843,8.6685,3.7211,11.2395,9.0917,11.2625,7.6714,29.5687,2.4556
Normal,4.704,11.9284,9.201,12.7716,10.6422,2.105,10.102,7.5173,8.7515,6.3144,26.6885,9.5362
Normal,4.3066,11.9147,9.7073,12.019,9.09,1.171,9.6755,6.1405,11.1056,18.9339,20.0325,8.3084
Normal,5.4263,11.7004,11.4294,11.369,4.9194,1.6993,10.3679,5.4712,10.3117,4.2004,25.7561,5.4189
Normal,6.9635,11.543,12.5345,11.0577,4.4285,2.705,10.2823,4.7106,19.6725,2.8987,28.0917,4.8373
Normal,6.2357,11.6977,11.4093,10.7071,4.8351,1.5247,10.2719,3.4459,17.5307,15.5183,29.8918,1.2001
Normal,3.9661,11.7297,10.264,9.6716,3.6648,0.6416,9.9633,1.8484,6.019,12.4718,34.3414,6.5821
Normal,3.6154,11.2793,11.4496,8.8943,3.5309,0.3063,8.0074,1.4669,10.3209,11.641,23.7805,3.9326
Normal,5.3567,10.6659,12.8018,9.4702,2.9606,2.2773,6.3601,2.3223,6.7021,34.1199,26.6146,0.24
Normal,6.5021,10.5304,12.9456,10.1898,1.3638,4.758,7.5878,2.4865,5.5759,18.1123,37.0832,10.2747
Normal,5.7742,11.1539,13.19,9.6378,0.6744,5.2793,9.6234,1.4311,16.6722,7.9022,31.0458,6.0651
Normal,4.0274,11.5448,13.0902,8.183,0.0446,3.3801,9.5784,0.1006,0.6647,30.815,27.0762,10.0347
Normal,3.2922,10.9552,12.7872,7.0532,0.1141,2.1987,7.8664,1.5455,1.6525,29.7718,30.0764,1.0524
Normal,4.2453,10.5405,13.6304,7.0972,1.9787,3.5477,7.6571,1.7328,13.875,21.9342,27.2424,5.9174
Normal,4.823,11.0751,13.9719,7.9111,3.5755,4.5661,9.9645,0.4855,1.3386,23.1251,14.4012,4.9204
Normal,3.8992,11.6318,12.7194,8.3578,4.4781,2.9847,11.0996,0.3237,9.01,24.8421,28.7009,6.4621
Normal,2.6056,11.6446,11.7206,8.2278,4.0367,0.4497,8.7461,0.0058,22.0542,21.1403,26.1069,5.1051
Normal,1.8182,11.2582,11.7874,8.0795,0.3323,0.8774,6.3867,0.7444,5.0312,34.8676,32.7813,3.508
Normal,2.0883,10.8582,12.7542,8.1903,1.9489,0.1688,6.0989,0.7537,8.3361,21.4542,37.9602,10.764
Normal,2.59,11.2372,13.7769,8.3524,1.1356,1.0242,7.0352,0.2786,12.9796,9.5916,26.8546,17.6785
Normal,1.6827,11.8625,13.0756,8.0795,4.9641,0.2347,8.0548,0.0694,5.7697,22.4696,17.8354,4.7635
Normal,0.8276,11.4771,12.0648,7.4405,5.0385,0.8207,7.3242,0.1075,20.5402,15.8321,17.4015,1.8002
Normal,1.8814,10.6879,13.2202,7.0972,1.3836,0.7248,5.6897,0.3006,24.4729,6.4436,25.396,7.6437
Normal,2.6413,10.7758,14.0982,7.2711,4.0566,2.0935,6.4919,0.0798,0.3416,17.1338,31.6827,6.0651
Normal,1.5536,10.9918,12.2992,7.4222,7.0816,1.6877,7.9149,0.1225,2.6218,16.7738,41.3113,6.4529
Normal,0.8478,10.502,10.925,7.4725,6.67,1.4531,6.7994,0.7942,16.026,7.2468,33.5937,16.5245
Normal,1.4841,10.0012,12.1289,7.3874,5.2319,2.29,5.1683,0.734,0.517,16.7645,35.2092,0.2123
Normal,2.016,10.058,13.4775,7.1988,3.5755,3.157,5.6261,0.3849,6.619,22.1558,38.8557,15.3152
Normal,1.6818,10.1431,12.7066,7.3425,3.8036,2.6842,5.6134,1.0323,12.8042,10.8656,35.6708,6.9975
Normal,1.4749,9.7385,11.0275,7.9651,7.5478,1.8657,3.839,2.268,4.865,2.7879,32.2274,8.8438
Normal,2.2723,9.3494,10.9387,8.4833,10.3596,2.6946,3.498,3.0749,15.4536,0.4339,39.5942,10.2101
Normal,2.8784,9.4949,11.7032,8.6224,9.6653,3.5095,4.054,2.957,11.2441,5.5205,42.1052,4.8281
Normal,2.0059,9.6844,11.2628,8.5291,5.9063,2.0507,3.7222,1.9767,10.7825,20.9464,43.0099,7.1268
Normal,1.279,9.2706,10.5588,8.4613,1.1208,0.7791,3.1859,2.0831,3.4249,21.7773,36.7324,9.3423
Normal,2.1478,8.5272,11.0147,8.6526,2.1324,1.8981,2.8183,3.0402,11.9641,5.3358,23.5497,12.9704
Normal,3.2501,8.2864,11.7554,8.8284,4.0417,3.3408,2.987,2.9142,0.0462,1.4032,19.7925,14.512
Normal,3.2034,8.6673,11.6986,8.7305,4.7607,3.4055,4.9337,2.6957,6.6837,4.0065,21.0757,6.8775
Normal,2.4765,8.8687,10.903,8.768,2.4002,2.8044,6.1844,3.995,18.4354,10.5978,18.2139,19.9217
Normal,2.2998,8.432,10.2081,9.0289,0.1835,2.505,5.0342,5.0712,2.6218,8.8069,22.7558,12.8319
Normal,3.4085,7.9019,10.5258,9.3942,0.367,4.1257,4.3938,5.1799,4.7635,0.9878,25.433,20.2633
Normal,4.8752,7.9376,11.1539,10.0974,0.5951,6.3613,5.2943,6.3914,3.4434,5.7605,25.6268,0.8216
Normal,4.7699,8.3862,10.8948,10.459,1.5076,5.8203,5.8596,7.6675,8.9085,13.9212,35.6154,13.9489
Normal,3.4094,8.6288,10.545,9.9426,0.7786,3.5049,5.1568,7.2676,10.8563,9.0839,23.3651,12.4811
Normal,3.1888,8.2388,11.0468,9.4958,1.8894,2.9662,4.1499,6.9497,9.3793,18.3985,30.6857,3.5634
Normal,4.8788,7.6172,12.0566,10.0461,4.2946,4.4863,3.6644,7.7323,17.42,19.9679,41.8928,7.9761
Normal,6.4453,7.7444,12.5024,11.1621,5.336,6.0873,5.1984,8.9264,1.9386,16.146,28.7748,16.0814
Normal,6.0764,8.2452,11.4386,11.7435,6.5708,5.3649,7.056,9.7922,8.3823,23.9467,15.8506,0.397
Normal,5.2835,8.0988,10.4984,11.5567,7.6916,3.8852,6.4885,9.6292,1.2924,3.1018,20.291,14.8074
Normal,6.0049,7.6007,11.2756,11.5356,8.1131,5.1522,5.7902,9.9379,2.5479,5.8436,39.7788,6.0651
Normal,7.3709,7.6199,11.9998,12.3422,8.1875,7.0768,6.1463,10.7216,0.517,22.7004,38.6803,1.7263
Normal,7.9559,7.9962,11.4835,13.3621,6.675,7.6444,6.5335,11.4453,14.6874,22.8943,38.9018,12.0564
Normal,7.814,8.3157,10.9772,13.873,4.1855,7.7889,7.2468,12.9792,1.7078,11.2441,43.4807,10.884
Normal,7.077,8.2608,10.8911,13.7915,2.7573,7.0375,6.9069,13.4647,6.3329,24.4637,36.6862,1.3847
Normal,6.7676,8.0484,11.2482,13.6826,1.815,6.5324,5.2296,12.5619,14.4105,14.5951,41.7544,12.4257
Normal,7.2427,8.1958,11.7847,14.1312,0.4414,7.1867,4.4852,12.9076,7.5791,13.9858,42.7237,2.4648
Normal,7.4762,8.5849,11.7105,14.6823,3.0697,7.2063,5.4562,13.2936,9.8039,29.9841,51.6783,2.0494
Normal,7.3004,8.9923,11.7078,14.7482,10.1463,6.4642,7.0745,12.9284,6.6006,14.752,47.081,6.4713
Normal,6.8729,9.2349,11.5558,14.762,17.3767,5.4319,7.6641,12.9388,5.2435,12.9334,40.1758,16.0445
Normal,6.7447,8.9282,10.6796,15.3195,21.1655,4.5291,7.0988,13.422,14.3551,29.6333,48.0688,2.271
Normal,7.76,8.5263,11.0129,16.0858,22.6185,5.329,7.4363,14.4577,6.7021,23.1528,41.5328,3.8219
Normal,8.3102,8.9154,12.28,16.3568,22.9706,5.8619,8.7842,14.934,5.3082,29.661,51.3183,7.4222
Normal,6.8738,9.722,11.9788,15.737,22.9607,3.8829,9.6986,14.4265,4.6989,18.3524,47.0902,0.24
Normal,5.5252,9.8465,11.2555,15.0266,24.7162,2.2252,9.5414,14.2358,7.8191,4.4404,48.7057,5.6497
