height,tail length,leg length,nose circumference
5.151,3.535,1.414,0.202
4.949,3.03,1.414,0.202
4.747,3.232,1.313,0.202
4.646,3.131,1.515,0.202
5.05,3.636,1.414,0.202
5.454,3.939,1.717,0.404
4.646,3.434,1.414,0.303
5.05,3.434,1.515,0.202
4.444,2.929,1.414,0.202
4.949,3.131,1.515,0.101
5.454,3.737,1.515,0.202
4.848,3.434,1.616,0.202
4.848,3.03,1.414,0.101
4.343,3.03,1.111,0.101
5.858,4.04,1.212,0.202
5.757,4.444,1.515,0.404
5.454,3.939,1.313,0.404
5.151,3.535,1.414,0.303
5.757,3.838,1.717,0.303
5.151,3.838,1.515,0.303
5.454,3.434,1.717,0.202
5.151,3.737,1.515,0.404
4.646,3.636,1.01,0.202
5.151,3.333,1.717,0.505
4.848,3.434,1.919,0.202
5.05,3.03,1.616,0.202
5.05,3.434,1.616,0.404
5.252,3.535,1.515,0.202
5.252,3.434,1.414,0.202
4.747,3.232,1.616,0.202
4.848,3.131,1.616,0.202
5.454,3.434,1.515,0.404
5.252,4.141,1.515,0.101
5.555,4.242,1.414,0.202
4.949,3.131,1.515,0.202
5.05,3.232,1.212,0.202
5.555,3.535,1.313,0.202
4.949,3.636,1.414,0.101
4.444,3.03,1.313,0.202
5.151,3.434,1.515,0.202
5.05,3.535,1.313,0.303
4.545,2.323,1.313,0.303
4.444,3.232,1.313,0.202
5.05,3.535,1.616,0.606
5.151,3.838,1.919,0.404
4.848,3.03,1.414,0.303
5.151,3.838,1.616,0.202
4.646,3.232,1.414,0.202
5.353,3.737,1.515,0.202
5.05,3.333,1.414,0.202
7.07,3.232,4.747,1.414
6.464,3.232,4.545,1.515
6.969,3.131,4.949,1.515
5.555,2.323,4.04,1.313
6.565,2.828,4.646,1.515
5.757,2.828,4.545,1.313
6.363,3.333,4.747,1.616
4.949,2.424,3.333,1.01
6.666,2.929,4.646,1.313
5.252,2.727,3.939,1.414
5.05,2.02,3.535,1.01
5.959,3.03,4.242,1.515
6.06,2.222,4.04,1.01
6.161,2.929,4.747,1.414
5.656,2.929,3.636,1.313
6.767,3.131,4.444,1.414
5.656,3.03,4.545,1.515
5.858,2.727,4.141,1.01
6.262,2.222,4.545,1.515
5.656,2.525,3.939,1.111
5.959,3.232,4.848,1.818
6.161,2.828,4.04,1.313
6.363,2.525,4.949,1.515
6.161,2.828,4.747,1.212
6.464,2.929,4.343,1.313
6.666,3.03,4.444,1.414
6.868,2.828,4.848,1.414
6.767,3.03,5.05,1.717
6.06,2.929,4.545,1.515
5.757,2.626,3.535,1.01
5.555,2.424,3.838,1.111
5.555,2.424,3.737,1.01
5.858,2.727,3.939,1.212
6.06,2.727,5.151,1.616
5.454,3.03,4.545,1.515
6.06,3.434,4.545,1.616
6.767,3.131,4.747,1.515
6.363,2.323,4.444,1.313
5.656,3.03,4.141,1.313
5.555,2.525,4.04,1.313
5.555,2.626,4.444,1.212
6.161,3.03,4.646,1.414
5.858,2.626,4.04,1.212
5.05,2.323,3.333,1.01
5.656,2.727,4.242,1.313
5.757,3.03,4.242,1.212
5.757,2.929,4.242,1.313
6.262,2.929,4.343,1.313
5.151,2.525,3.03,1.111
5.757,2.828,4.141,1.313
6.363,3.333,6.06,2.525
5.858,2.727,5.151,1.919
7.171,3.03,5.959,2.121
6.363,2.929,5.656,1.818
6.565,3.03,5.858,2.222
7.676,3.03,6.666,2.121
4.949,2.525,4.545,1.717
7.373,2.929,6.363,1.818
6.767,2.525,5.858,1.818
7.272,3.636,6.161,2.525
6.565,3.232,5.151,2.02
6.464,2.727,5.353,1.919
6.868,3.03,5.555,2.121
5.757,2.525,5.05,2.02
5.858,2.828,5.151,2.424
6.464,3.232,5.353,2.323
6.565,3.03,5.555,1.818
7.777,3.838,6.767,2.222
7.777,2.626,6.969,2.323
6.06,2.222,5.05,1.515
6.969,3.232,5.757,2.323
5.656,2.828,4.949,2.02
7.777,2.828,6.767,2.02
6.363,2.727,4.949,1.818
6.767,3.333,5.757,2.121
7.272,3.232,6.06,1.818
6.262,2.828,4.848,1.818
6.161,3.03,4.949,1.818
6.464,2.828,5.656,2.121
7.272,3.03,5.858,1.616
7.474,2.828,6.161,1.919
7.979,3.838,6.464,2.02
6.464,2.828,5.656,2.222
6.363,2.828,5.151,1.515
6.161,2.626,5.656,1.414
7.777,3.03,6.161,2.323
6.363,3.434,5.656,2.424
6.464,3.131,5.555,1.818
6.06,3.03,4.848,1.818
6.969,3.131,5.454,2.121
6.767,3.131,5.656,2.424
6.969,3.131,5.151,2.323
5.858,2.727,5.151,1.919
6.868,3.232,5.959,2.323
6.767,3.333,5.757,2.525
6.767,3.03,5.252,2.323
6.363,2.525,5.05,1.919
6.565,3.03,5.252,2.02
6.262,3.434,5.454,2.323
5.959,3.03,5.151,1.818
5.202,3.57,1.428,0.204
4.998,3.06,1.428,0.204
4.794,3.264,1.326,0.204
4.692,3.162,1.53,0.204
5.1,3.672,1.428,0.204
5.508,3.978,1.734,0.408
4.692,3.468,1.428,0.306
5.1,3.468,1.53,0.204
4.488,2.958,1.428,0.204
4.998,3.162,1.53,0.102
5.508,3.774,1.53,0.204
4.896,3.468,1.632,0.204
4.896,3.06,1.428,0.102
4.386,3.06,1.122,0.102
5.916,4.08,1.224,0.204
5.814,4.488,1.53,0.408
5.508,3.978,1.326,0.408
5.202,3.57,1.428,0.306
5.814,3.876,1.734,0.306
5.202,3.876,1.53,0.306
5.508,3.468,1.734,0.204
5.202,3.774,1.53,0.408
4.692,3.672,1.02,0.204
5.202,3.366,1.734,0.51
4.896,3.468,1.938,0.204
5.1,3.06,1.632,0.204
5.1,3.468,1.632,0.408
5.304,3.57,1.53,0.204
5.304,3.468,1.428,0.204
4.794,3.264,1.632,0.204
4.896,3.162,1.632,0.204
5.508,3.468,1.53,0.408
5.304,4.182,1.53,0.102
5.61,4.284,1.428,0.204
4.998,3.162,1.53,0.204
5.1,3.264,1.224,0.204
5.61,3.57,1.326,0.204
4.998,3.672,1.428,0.102
4.488,3.06,1.326,0.204
5.202,3.468,1.53,0.204
5.1,3.57,1.326,0.306
4.59,2.346,1.326,0.306
4.488,3.264,1.326,0.204
5.1,3.57,1.632,0.612
5.202,3.876,1.938,0.408
4.896,3.06,1.428,0.306
5.202,3.876,1.632,0.204
4.692,3.264,1.428,0.204
5.406,3.774,1.53,0.204
5.1,3.366,1.428,0.204
7.14,3.264,4.794,1.428
6.528,3.264,4.59,1.53
7.038,3.162,4.998,1.53
5.61,2.346,4.08,1.326
6.63,2.856,4.692,1.53
5.814,2.856,4.59,1.326
6.426,3.366,4.794,1.632
4.998,2.448,3.366,1.02
6.732,2.958,4.692,1.326
5.304,2.754,3.978,1.428
5.1,2.04,3.57,1.02
6.018,3.06,4.284,1.53
6.12,2.244,4.08,1.02
6.222,2.958,4.794,1.428
5.712,2.958,3.672,1.326
6.834,3.162,4.488,1.428
5.712,3.06,4.59,1.53
5.916,2.754,4.182,1.02
6.324,2.244,4.59,1.53
5.712,2.55,3.978,1.122
6.018,3.264,4.896,1.836
6.222,2.856,4.08,1.326
6.426,2.55,4.998,1.53
6.222,2.856,4.794,1.224
6.528,2.958,4.386,1.326
6.732,3.06,4.488,1.428
6.936,2.856,4.896,1.428
6.834,3.06,5.1,1.734
6.12,2.958,4.59,1.53
5.814,2.652,3.57,1.02
5.61,2.448,3.876,1.122
5.61,2.448,3.774,1.02
5.916,2.754,3.978,1.224
6.12,2.754,5.202,1.632
5.508,3.06,4.59,1.53
6.12,3.468,4.59,1.632
6.834,3.162,4.794,1.53
6.426,2.346,4.488,1.326
5.712,3.06,4.182,1.326
5.61,2.55,4.08,1.326
5.61,2.652,4.488,1.224
6.222,3.06,4.692,1.428
5.916,2.652,4.08,1.224
5.1,2.346,3.366,1.02
5.712,2.754,4.284,1.326
5.814,3.06,4.284,1.224
5.814,2.958,4.284,1.326
6.324,2.958,4.386,1.326
5.202,2.55,3.06,1.122
5.814,2.856,4.182,1.326
6.426,3.366,6.12,2.55
5.916,2.754,5.202,1.938
7.242,3.06,6.018,2.142
6.426,2.958,5.712,1.836
6.63,3.06,5.916,2.244
7.752,3.06,6.732,2.142
4.998,2.55,4.59,1.734
7.446,2.958,6.426,1.836
6.834,2.55,5.916,1.836
7.344,3.672,6.222,2.55
6.63,3.264,5.202,2.04
6.528,2.754,5.406,1.938
6.936,3.06,5.61,2.142
5.814,2.55,5.1,2.04
5.916,2.856,5.202,2.448
6.528,3.264,5.406,2.346
6.63,3.06,5.61,1.836
7.854,3.876,6.834,2.244
7.854,2.652,7.038,2.346
6.12,2.244,5.1,1.53
7.038,3.264,5.814,2.346
5.712,2.856,4.998,2.04
7.854,2.856,6.834,2.04
6.426,2.754,4.998,1.836
6.834,3.366,5.814,2.142
7.344,3.264,6.12,1.836
6.324,2.856,4.896,1.836
6.222,3.06,4.998,1.836
6.528,2.856,5.712,2.142
7.344,3.06,5.916,1.632
7.548,2.856,6.222,1.938
8.058,3.876,6.528,2.04
6.528,2.856,5.712,2.244
6.426,2.856,5.202,1.53
6.222,2.652,5.712,1.428
7.854,3.06,6.222,2.346
6.426,3.468,5.712,2.448
6.528,3.162,5.61,1.836
6.12,3.06,4.896,1.836
7.038,3.162,5.508,2.142
6.834,3.162,5.712,2.448
7.038,3.162,5.202,2.346
5.916,2.754,5.202,1.938
6.936,3.264,6.018,2.346
6.834,3.366,5.814,2.55
6.834,3.06,5.304,2.346
6.426,2.55,5.1,1.938
6.63,3.06,5.304,2.04
6.324,3.468,5.508,2.346
6.018,3.06,5.202,1.836